"ClaimDesc","ClaimType"
"River burst it's Bank and flooded the house ","FLOOD"
"Due to the bad weather, my porch has been flooding with water and has caused damage.","STORM"
"a flood. The whole downstairs has water in it.","FLOOD"
"River burst flooded the house ","FLOOD"
"Due to the excessive rain the house has been flooding with water and has caused damage.","STORM"
"Due to the excessive rain the house has been flooding with water and has caused damage.","FLOOD"
"a torrential rainstorm caused a failure of the floor in the kitchen, allowing floodwater to force itself up through a crack caused by water pressure from below","STORM"
"Flood. The whole downstairs has been flooded and gone up 3 stairs aswell ","FLOOD"
"Storm with flash flood water running off farmers field opposite house, silt blocked highway drain and torrent of water stipped off driveway and entered annex under door seal and flooded whole of annex to water depth of greater than 3 inches. Fire brigade called out,. Electric out to annex and we have baled out but all bookcases, furniture and carpeting wet.","FLOOD"
"Floors amd carpets were damaged by flood water","FLOOD"
"a flood. The whole downstairs has water in it.","FLOOD"
"Ground floor  and property surrounds flooded following heavy rain in the area. Fire brigade called, who then pumped water away from the house and area. Incident number 23734 (Devon and Somerset Fire Service)","FLOOD"
"water ingress due to torrential rain","FLOOD"
"Floors amd carpets were damaged by flood water","FLOOD"
"Hello, the porch to our property flooded over the weekend. There was a hole behind the woodwork (which is rotten) and this let water through. Woodwork, flooring and plaster needs replacing as water has soaked up the wall, laid a carpet temporarily which has become saturated also. Thanks.","FLOOD"
"Flood damage to my property","FLOOD"
"Flooding in our basement","FLOOD"
"Flood damaged house.","FLOOD"
"Water rising on kitchen floor and damaged floor and kitchen","FLOOD"
"Awaiting description of loss. Notified offline via Quest Consulting.","FLOOD"
"Flooding from the roof has made its way into the living room via the ceiling, causing damage.","FLOOD"
"Flood damage to my property","FLOOD"
"Rear retaining garden wall partially collapsed due to excessive rain and storms","STORM"
